0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
01000000 000110101 1
00100010 000011011 0
00101000 001010000 1
00111001 001011001 0
01001001 000000100 0
01011000 001000001 0
00001110 000010100 1
01011001 001111100 0
00011010 000100010 0
00010101 000011000 0
01010110 001000110 0
01000001 001111111 1
01000001 000100000 1
01011001 010001010 1
00111011 000000111 1
01001010 010001010 1
01010110 001010001 1
00011111 000111011 0
00110000 001010100 0
00110011 000010001 0
01010011 001110001 0
01001001 001100110 1
00111111 000110011 0
00110100 000011101 0
01000100 000000110 0
00111100 000101000 0
01010101 000010011 1
00110000 000011000 1
00101011 000110001 0
01010111 000110011 1
01010000 000000100 0
00111000 001101111 0
01010001 000011110 0
00001101 000001110 1
01000010 001111011 0
01000011 001100110 1
01000001 000100001 1
00100100 000100011 0
00100111 000011110 0
00100000 000101110 1
00111111 001101111 1
00100010 000101000 1
00101001 001010001 0
00110101 000011000 1
00111101 000101101 1
00010101 000011001 0
01000100 000011011 1
01010011 000100100 1
01000001 001110111 0
01010001 000000001 0
00011110 000000100 0
00110111 000100010 1
00011111 000001000 1
01010100 001111100 0
01001011 001011110 1
00111011 000011000 1
01011010 000000101 1
01010101 000100111 0
00111110 001100110 1
00100010 000000100 1
01011000 001001100 0
00100001 001000000 1
01010001 010000110 0
01011010 000001100 0
00110100 001100111 1
00111101 001000011 1
01010111 000011001 0
00101111 000000100 0
01000010 000110101 1
01000010 000101101 0
00111101 000111101 1
01001011 010001110 1
01000110 001001000 0
01011001 010101100 0
00011101 000000011 0
01001101 000011111 0
01010001 000111010 0
00100110 001000101 1
01001010 001010100 0
00110011 001001010 0
01010010 000000010 1
01000110 000100101 1
01001000 001001011 1
00001111 000010101 0
01010111 010010000 1
00111011 000000010 0
01001000 001011010 1
00110101 001101010 0
01001110 001001011 1
01010000 000000110 1
01010010 000010001 0
01001000 001010101 0
01010100 000011010 0
01010011 001111110 1
00110010 000110100 1
01001101 000111100 0
00100110 000111001 1
01000001 000100010 0
00110000 001001001 1
01000100 001101110 1
00011111 000100110 0
00111110 000010000 0
01000011 000100111 1
01001111 001001110 0
01001001 000000010 1
01011001 001000111 0
00101010 000010100 0
00110000 001011101 0
00101010 001001110 0
00111100 001100100 0
00010110 000001000 1
00101010 000111101 1
01000011 000000110 1
00111111 000001111 1
00110001 000111100 0
01010101 000010101 0
01011001 010010111 0
01010001 010001100 1
00110110 001101001 1
01001011 000001011 1
01010100 001000000 0
01001011 001110110 1
00111111 001110101 0
00110100 000001101 1
01010100 000000100 1
01001010 000101100 1
00001001 000001000 0
00110001 000001010 0
00101000 000100001 1
00101011 000100011 0
00100000 000000001 1
01010011 010011001 0
00101001 000011100 0
01000010 000010001 0
00100110 000111110 1
01010111 010011111 1
00111010 001110100 1
00111101 000110111 1
01000101 010000111 1
01000011 000001111 0
00111100 000111001 1
00111011 001001111 0
00111010 000001100 1
01001000 000101111 0
01001110 000111000 0
01001001 001101111 0
00111000 001000010 0
01010001 010100001 0
01010011 000011101 1
01011000 000010011 0
00111111 000100010 0
00110001 001001000 1
00101011 001010000 0
01001010 000000111 1
01000011 000101100 1
00111111 000101010 1
00001010 000010011 0
00011100 000001011 1
00101001 000001001 0
01000110 001001011 0
01011000 001100001 0
00110111 000101011 1
00111011 000100101 1
00010111 000010010 1
00111101 000111001 1
01000100 001110010 0
01010110 001000001 0
01010000 010000101 0
01010110 001111111 0
01010110 010011100 1
01011000 000010110 1
01000010 000010000 0
01011010 001000110 0
00011100 000001010 1
01001011 000110110 1
01011000 010100100 1
00011110 000000101 1
01001100 000011110 0
01001000 000100001 0
01001010 001100110 0
